Date : 2026-08-01 18:32:18
Directory : /home/cyvv/Repos/splanything
Total : 90 files,  7143 codes, 2539 comments, 1430 blanks, all 11112 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/cyvv/Repos/splanything/src/splanything/training/losses/l1.py                              | Python   |          8 |         16 |          5 |         29 |
| /home/cyvv/Repos/splanything/src/splanything/training/losses/l2.py                              | Python   |          7 |         16 |          5 |         28 |
| /home/cyvv/Repos/splanything/src/splanything/training/optimizer.py                              | Python   |        255 |        101 |         62 |        418 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/__init__.py                    | Python   |         12 |         14 |          3 |         29 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/base.py                        | Python   |         95 |        129 |         31 |        255 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/__init__.py         | Python   |          8 |          7 |          3 |         18 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/flex.py             | Python   |         20 |          8 |          8 |         36 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/map_processor.py    | Python   |         29 |         33 |          6 |         68 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/reduction.py        | Python   |         31 |         12 |          9 |         52 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/__init__.py              | Python   |         23 |         15 |          3 |         41 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/bounds_filter.py         | Python   |         56 |         46 |         10 |        112 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/grad_split.py            | Python   |         44 |         12 |          7 |         63 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/iso_split.py             | Python   |         14 |         32 |          8 |         54 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/map_filter.py            | Python   |         23 |         38 |          9 |         70 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/map_split.py             | Python   |         23 |         38 |          9 |         70 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/multi_rules.py           | Python   |         84 |         36 |         22 |        142 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/primitive_ceiling.py     | Python   |         65 |         68 |         17 |        150 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/primitive_floor.py       | Python   |         65 |         69 |         17 |        151 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/threshold_filter.py      | Python   |         34 |         13 |          9 |         56 |
| /home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/threshold_grad_filter.py | Python   |         36 |         13 |         10 |         59 |
| /home/cyvv/Repos/splanything/src/splanything/training/regularizers/__init__.py                  | Python   |          5 |          1 |          3 |          9 |
| /home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_attractor.py            | Python   |         87 |        101 |         15 |        203 |
| /home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_proximity.py            | Python   |         24 |         33 |          7 |         64 |
| /home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_range.py                | Python   |         32 |         40 |          7 |         79 |
| /home/cyvv/Repos/splanything/src/splanything/training/regularizers/base.py                      | Python   |         27 |         50 |          8 |         85 |
| /home/cyvv/Repos/splanything/src/splanything/training/sampler.py                                | Python   |        241 |         63 |         20 |        324 |
| /home/cyvv/Repos/splanything/src/splanything/training/stages.py                                 | Python   |         16 |          0 |          1 |         17 |
| /home/cyvv/Repos/splanything/src/splanything/training/trainer.py                                | Python   |        242 |        119 |         34 |        395 |
| /home/cyvv/Repos/splanything/src/splanything/utils/__init__.py                                  | Python   |          1 |          0 |          1 |          2 |
| /home/cyvv/Repos/splanything/src/splanything/utils/img.py                                       | Python   |        521 |        293 |         50 |        864 |
| /home/cyvv/Repos/splanything/src/splanything/utils/math.py                                      | Python   |         17 |         14 |          6 |         37 |
| /home/cyvv/Repos/splanything/tests/test_filter_split_optimizer_state.py                         | Python   |        232 |         76 |         69 |        377 |
| /home/cyvv/Repos/splanything/tests/test_masked_len.py                                           | Python   |        116 |         41 |         45 |        202 |
| /home/cyvv/Repos/splanything/tests/test_multi_masked.py                                         | Python   |        147 |         46 |         32 |        225 |
| /home/cyvv/Repos/splanything/tests/test_patch_roundtrip.py                                      | Python   |        122 |         44 |         41 |        207 |
| /home/cyvv/Repos/splanything/tests/test_refinement_rules.py                                     | Python   |         89 |         13 |         33 |        135 |
| /home/cyvv/Repos/splanything/tests/test_sampler_roundtrip.py                                    | Python   |        108 |         52 |         35 |        195 |
| /home/cyvv/Repos/splanything/tests/test_trainer_log_handler.py                                  | Python   |        256 |         55 |         64 |        375 |
| /home/cyvv/Repos/splanything/tests/test_uv_sample.py                                            | Python   |         99 |         39 |         40 |        178 |
| Total                                                                                           |          |      7,143 |      2,539 |      1,430 |     11,112 |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
